Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Shawn Marion,28,SF,80,80,3010,20.8,.594,.235,.232,7.0,22.6,15.2,6.7,2.6,2.8,8.8,19.3,6.7,5.3,12.0,.191,2.4,1.9,4.4,4.8,"DPOY-4,AS"
2,Raja Bell,30,SG,78,78,2917,12.0,.562,.522,.160,2.0,7.7,5.0,9.5,0.9,0.5,7.5,17.0,4.2,1.6,5.8,.095,0.5,-0.6,-0.1,1.4,DPOY-23
3,Amar'e Stoudemire,24,C,82,78,2689,23.1,.637,.003,.555,10.1,23.3,17.0,5.0,1.5,2.9,15.0,25.8,7.2,4.0,11.2,.201,1.5,0.3,1.8,2.6,"MVP-14,AS,NBA1"
4,Steve Nash,32,PG,76,76,2682,23.8,.654,.353,.254,1.4,9.9,5.8,50.1,1.1,0.2,21.0,22.9,10.8,1.7,12.6,.225,6.7,-0.8,5.9,5.3,"MVP-2,AS,NBA1"
5,Leandro Barbosa,24,SG,80,18,2613,18.4,.595,.394,.209,1.0,8.1,4.8,18.7,1.8,0.4,10.7,23.4,6.1,2.1,8.2,.151,2.6,0.1,2.7,3.1,6MOY-1
6,Boris Diaw,24,PF,73,59,2268,13.0,.570,.079,.211,4.9,11.0,8.1,21.7,0.6,1.2,19.9,15.4,3.0,1.5,4.6,.097,0.3,0.2,0.4,1.4,
7,James Jones,26,SF,76,7,1376,10.8,.510,.541,.184,2.9,11.5,7.5,4.5,1.0,2.1,5.6,16.5,1.0,1.2,2.2,.077,-0.5,-0.2,-0.6,0.5,
8,Kurt Thomas,34,C,67,13,1208,11.4,.531,.004,.274,8.7,26.9,18.3,2.7,1.0,1.7,10.8,12.1,1.2,1.7,2.9,.115,-2.1,0.4,-1.7,0.1,
9,Marcus Banks,25,PG,45,1,503,11.3,.497,.148,.306,2.4,6.2,4.4,17.4,2.3,0.4,15.2,23.5,-0.1,0.4,0.4,.037,-3.7,0.1,-3.6,-0.2,
10,Jalen Rose,34,SF,29,0,246,13.4,.592,.547,.140,1.5,9.0,5.4,9.3,1.0,0.6,9.0,18.3,0.4,0.2,0.6,.111,1.3,-0.1,1.2,0.2,
11,Pat Burke,33,C,23,0,164,9.3,.424,.338,.200,9.0,23.7,16.7,4.3,0.9,0.9,9.0,21.3,-0.1,0.2,0.1,.015,-3.9,-2.1,-6.0,-0.2,
12,Jumaine Jones,27,SF,18,0,138,3.2,.386,.627,.039,5.3,13.7,9.7,1.0,1.8,0.5,11.9,19.2,-0.3,0.1,-0.2,-0.061,-6.2,-1.3,-7.5,-0.2,
13,Eric Piatkowski,36,SG,11,0,73,7.7,.522,.720,.080,3.4,10.6,7.2,7.5,0.0,1.0,16.2,19.0,0.0,0.0,0.0,.007,-1.3,-2.2,-3.5,0.0,
14,Sean Marks,31,PF,3,0,17,6.7,.436,.167,.333,0.0,19.6,10.3,0.0,0.0,4.1,0.0,18.2,0.0,0.0,0.0,.043,-7.5,-0.6,-8.1,0.0,
