Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Baron Davis,28,PG,82,82,3196,19.8,.523,.344,.278,3.1,10.1,6.4,29.7,2.9,1.0,11.9,25.6,5.9,2.8,8.7,.131,3.2,0.3,3.6,4.5,
2,Monta Ellis,22,SG,81,72,3071,19.0,.580,.042,.340,4.5,9.8,7.0,15.8,2.0,0.6,10.9,21.7,7.1,1.8,9.0,.140,1.8,-0.3,1.6,2.8,
3,Stephen Jackson,29,SF,73,73,2855,14.9,.536,.416,.307,2.4,9.8,6.0,15.2,1.6,0.7,12.6,23.1,3.2,1.4,4.6,.077,1.1,-1.2,-0.2,1.3,
4,Al Harrington,27,C,81,59,2190,15.6,.547,.442,.206,5.0,16.9,10.7,8.9,1.6,0.5,8.2,21.1,3.7,1.7,5.4,.118,1.0,-0.8,0.2,1.2,
5,Andris Biedriņš,21,C,76,59,2078,19.2,.637,.000,.344,12.7,26.2,19.1,5.2,1.3,3.3,12.0,14.4,5.4,2.6,8.0,.185,1.1,0.1,1.1,1.6,
6,Kelenna Azubuike,24,SG,81,17,1732,13.5,.534,.332,.235,6.4,14.0,10.0,6.1,1.3,1.4,8.2,17.2,2.3,1.1,3.4,.094,0.0,-0.9,-0.8,0.5,
7,Matt Barnes,27,PF,73,18,1414,12.9,.510,.410,.179,6.8,18.1,12.3,13.5,1.6,1.9,15.1,16.7,1.0,1.3,2.3,.077,-0.5,0.3,-0.2,0.6,
8,Mickaël Piétrus,25,SF,66,16,1316,12.7,.549,.473,.253,5.2,14.8,9.8,5.1,2.4,2.4,10.0,15.3,1.4,1.4,2.8,.104,-1.1,0.9,-0.2,0.6,
9,Austin Croshere,32,PF,44,0,457,13.2,.573,.445,.234,7.4,17.3,12.2,9.0,0.9,1.0,12.7,16.0,0.8,0.3,1.1,.112,-0.2,-0.8,-1.1,0.1,
10,Brandan Wright,20,PF,38,6,376,17.2,.583,.000,.357,10.4,18.1,14.1,3.4,0.8,4.3,9.1,16.0,0.8,0.3,1.1,.142,0.2,-0.6,-0.4,0.2,
11,C.J. Watson,23,PG,32,0,368,11.0,.519,.257,.287,3.6,5.8,4.7,12.8,2.0,0.0,13.7,15.1,0.3,0.1,0.4,.056,-2.0,-0.9,-2.8,-0.1,
12,Marco Belinelli,21,SG,33,0,241,8.2,.490,.441,.097,1.3,5.1,3.1,8.8,1.0,0.0,11.0,19.1,0.0,0.0,0.0,-0.002,-2.2,-2.4,-4.6,-0.2,
13,D.J. Mbenga,27,C,16,0,130,6.7,.398,.000,.087,10.3,15.4,12.8,3.9,1.1,5.6,14.3,9.0,0.0,0.1,0.1,.048,-6.2,1.1,-5.1,-0.1,
14,Chris Webber,34,PF,9,8,126,10.7,.482,.000,.387,1.6,26.5,13.6,19.3,1.5,3.5,23.3,15.8,-0.1,0.2,0.1,.025,-3.6,2.5,-1.1,0.0,
15,Patrick O'Bryant,21,C,24,0,99,14.0,.561,.000,.172,10.4,21.4,15.7,5.8,2.0,6.6,18.3,16.3,0.1,0.2,0.2,.105,-5.3,1.4,-3.9,0.0,
16,Troy Hudson,31,PG,9,0,93,5.2,.416,.387,.194,0.0,8.4,4.0,12.7,1.6,0.0,17.2,18.4,-0.2,0.0,-0.1,-0.062,-4.6,-1.7,-6.3,-0.1,
17,Kosta Perović,22,C,7,0,38,10.3,.396,.000,.600,16.2,20.5,18.3,3.4,0.0,3.8,7.3,15.1,0.0,0.0,0.0,.060,-3.1,-2.8,-5.9,0.0,
18,Stéphane Lasme,25,SF,1,0,0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,
