Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Caron Butler,27,SF,6,6,246,17.7,.556,.241,.356,4.7,11.5,8.1,18.5,2.4,0.4,13.7,22.7,0.3,0.2,0.6,.109,2.4,0.4,2.9,0.3,
2,Antawn Jamison,31,PF,6,6,237,16.6,.466,.260,.292,9.3,26.3,17.7,5.0,1.8,2.9,8.5,23.9,0.0,0.4,0.3,.067,1.8,-0.6,1.2,0.2,
3,DeShawn Stevenson,26,SG,6,6,196,12.9,.545,.600,.300,1.2,6.6,3.9,16.6,1.7,0.0,11.7,18.8,0.2,0.1,0.3,.071,1.9,-0.3,1.6,0.2,
4,Brendan Haywood,28,C,6,6,178,19.7,.655,.000,.568,8.5,17.8,13.1,5.4,1.2,4.4,9.8,16.4,0.5,0.2,0.8,.203,1.6,1.5,3.1,0.2,
5,Antonio Daniels,32,PG,6,4,154,12.7,.572,.129,.548,0.8,9.9,5.3,20.3,0.7,1.1,15.4,14.1,0.2,0.1,0.3,.079,0.1,-0.5,-0.4,0.1,
6,Roger Mason,27,PG,6,0,129,9.9,.475,.362,.170,0.0,4.6,2.3,9.0,1.3,0.7,3.8,19.5,0.0,0.0,0.0,.018,-1.3,-1.6,-2.9,0.0,
7,Gilbert Arenas,26,PG,4,2,94,11.2,.521,.333,.333,0.0,8.8,4.4,22.6,1.2,0.0,16.2,25.1,0.0,0.0,0.0,.012,-0.5,-2.1,-2.6,0.0,
8,Andray Blatche,21,PF,6,0,89,7.9,.419,.048,.571,9.1,17.2,13.1,2.0,1.2,5.8,16.0,16.8,-0.1,0.1,0.0,-0.020,-5.3,-0.7,-6.0,-0.1,
9,Darius Songaila,29,C,5,0,77,9.5,.566,.000,.789,6.0,13.7,9.9,9.2,0.7,0.0,19.0,19.6,0.1,0.0,0.1,.063,-4.2,-0.2,-4.4,0.0,
10,Nick Young,22,SG,4,0,17,1.3,.232,.222,.444,6.8,6.9,6.9,9.7,6.4,0.0,8.5,33.1,-0.1,0.0,-0.1,-0.299,-6.8,-1.0,-7.8,0.0,
11,Dominic McGuire,22,SG,3,0,15,14.5,.568,,,7.7,15.7,11.7,10.0,3.6,5.8,0.0,2.8,0.0,0.0,0.1,.167,2.2,5.0,7.2,0.0,
12,Oleksiy Pecherov,22,C,3,0,8,21.5,.532,.000,2.000,0.0,14.7,7.3,0.0,6.8,10.8,0.0,11.3,0.0,0.0,0.0,.211,1.5,7.0,8.5,0.0,
