Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Chris Paul,23,PG,5,5,201,16.1,.505,.219,.288,2.3,11.4,6.7,60.2,2.1,0.0,22.6,25.1,0.0,-0.1,-0.1,-0.035,2.8,-1.3,1.5,0.2,
2,David West,28,PF,5,5,178,12.2,.485,.000,.363,3.3,22.8,12.7,8.4,1.5,1.0,13.1,28.5,-0.2,0.0,-0.3,-0.071,-1.7,-1.3,-3.1,0.0,
3,Peja Stojaković,31,SF,5,5,162,8.1,.512,.531,.265,2.9,7.8,5.3,2.6,1.3,0.5,9.9,17.8,0.0,-0.1,-0.1,-0.040,-1.3,-1.4,-2.7,0.0,
4,Rasual Butler,29,SF,5,5,158,10.4,.647,.514,.243,2.2,9.6,5.8,1.3,0.3,2.2,12.8,14.1,0.2,-0.1,0.0,.014,1.1,-0.6,0.5,0.1,
5,James Posey,32,SG,5,0,123,13.3,.554,.475,.650,4.8,26.8,15.4,5.3,1.3,0.0,16.3,23.8,0.0,0.0,0.0,-0.004,-0.2,-0.7,-0.9,0.0,
6,Tyson Chandler,26,C,4,4,94,3.7,.512,.000,.500,10.0,17.6,13.6,4.1,1.1,0.9,35.3,11.5,-0.1,0.0,-0.2,-0.090,-6.6,-1.1,-7.8,-0.1,
7,Sean Marks,33,C,5,0,80,12.1,.526,.077,.385,14.6,15.9,15.2,0.0,2.0,2.1,11.6,10.2,0.1,0.0,0.1,.039,-0.5,-0.9,-1.3,0.0,
8,Antonio Daniels,33,PG,5,0,64,6.5,.392,.308,.846,1.8,4.0,2.9,25.7,1.7,1.3,21.9,17.0,-0.1,0.0,-0.2,-0.122,-1.7,-2.7,-4.4,0.0,
9,Hilton Armstrong,24,C,4,1,53,2.3,.431,.000,.769,6.6,12.0,9.2,4.0,4.0,1.6,25.6,21.0,-0.2,0.0,-0.2,-0.170,-10.0,0.0,-10.0,-0.1,
10,Devin Brown,30,SG,3,0,33,2.3,.450,.500,.250,7.1,11.5,9.2,0.0,0.0,0.0,25.3,17.1,-0.1,0.0,-0.1,-0.168,-5.4,-4.8,-10.2,-0.1,
11,Julian Wright,21,SF,4,0,32,5.8,.457,.000,.571,0.0,23.8,11.4,12.9,0.0,2.7,10.2,14.5,0.0,0.0,0.0,-0.052,-4.9,-0.3,-5.2,0.0,
12,Morris Peterson,31,SG,2,0,21,9.9,.444,.600,.800,5.6,12.1,8.7,9.0,2.5,0.0,0.0,15.3,0.0,0.0,0.0,.026,-0.3,-0.9,-1.3,0.0,
13,Ryan Bowen,33,SF,1,0,2,-31.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,-0.638,-32.1,-9.4,-41.5,0.0,
