Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Joe Johnson,28,SG,76,76,2886,19.3,.538,.253,.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,6.0,2.4,8.4,.140,3.4,-0.7,2.7,3.4,"MVP-12,AS,NBA3"
2,Josh Smith,24,PF,81,81,2871,21.0,.536,.007,.422,9.0,19.8,14.3,19.0,2.4,4.5,14.3,22.2,4.2,5.1,9.3,.155,2.4,2.7,5.1,5.1,DPOY-2
3,Al Horford,23,C,81,81,2845,19.4,.594,.001,.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,.183,1.8,0.5,2.3,3.1,AS
4,Marvin Williams,23,SF,81,81,2468,13.0,.540,.199,.324,5.0,14.8,9.8,5.6,1.4,1.4,8.7,15.5,3.1,2.6,5.7,.112,-0.4,0.1,-0.4,1.0,
5,Jamal Crawford,29,SG,79,0,2460,18.4,.573,.386,.285,1.6,8.0,4.8,16.1,1.3,0.4,9.9,25.8,5.6,1.7,7.3,.143,3.5,-1.1,2.4,2.7,6MOY-1
6,Mike Bibby,31,PG,80,80,2195,12.7,.538,.503,.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,3.0,1.7,4.8,.104,0.1,-0.2,-0.2,1.0,
7,Maurice Evans,31,SF,79,5,1317,12.2,.539,.430,.155,5.2,8.5,6.8,5.5,1.4,1.0,4.5,15.4,2.1,1.1,3.1,.114,-0.4,-0.6,-0.9,0.4,
8,Zaza Pachulia,25,C,78,1,1089,13.1,.539,.016,.581,12.4,19.0,15.7,5.6,1.8,2.2,15.8,15.5,1.2,1.5,2.7,.121,-2.7,0.2,-2.5,-0.1,
9,Jeff Teague,21,PG,71,3,719,11.0,.459,.141,.216,0.8,10.2,5.4,25.1,2.5,1.2,16.7,19.1,-0.2,0.8,0.6,.042,-3.8,0.3,-3.6,-0.3,
10,Joe Smith,34,PF,64,1,592,11.2,.453,.036,.249,12.9,18.1,15.5,5.3,0.5,2.4,9.3,18.4,0.3,0.6,0.9,.077,-3.8,-1.6,-5.5,-0.5,
11,Mario West,25,SG,39,1,142,9.9,.591,.048,.476,6.5,15.8,11.1,8.8,3.0,0.0,21.6,10.5,0.1,0.2,0.3,.106,-4.5,2.4,-2.1,0.0,
12,Randolph Morris,24,PF,28,0,124,14.6,.586,.000,.659,9.3,26.6,17.9,2.6,2.1,1.8,18.5,24.1,0.1,0.2,0.3,.108,-5.9,-0.1,-6.0,-0.1,
13,Jason Collins,31,C,24,0,115,0.9,.335,.043,.087,5.0,9.2,7.1,4.8,1.4,1.3,17.3,11.6,-0.2,0.1,-0.1,-0.044,-8.3,-0.5,-8.8,-0.2,
14,Othello Hunter,23,SF,7,0,33,7.9,.400,.000,.333,21.0,21.4,21.2,0.0,0.0,2.3,17.9,23.4,-0.1,0.0,0.0,-0.031,-7.0,-4.9,-11.9,-0.1,
