Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gerald Wallace,27,SF,4,4,164,19.7,.589,.250,.795,1.6,26.7,14.2,10.5,1.7,4.5,4.8,18.8,0.4,0.2,0.6,.172,4.4,2.8,7.2,0.4,
2,Stephen Jackson,31,SG,4,4,156,9.8,.459,.269,.388,5.0,11.6,8.3,19.3,1.8,0.8,17.8,30.2,-0.4,0.1,-0.3,-0.085,-1.7,-1.4,-3.1,0.0,
3,Boris Diaw,27,PF,4,4,152,7.4,.519,.321,.071,6.0,11.0,8.5,18.8,0.4,2.4,29.4,13.3,-0.1,0.0,-0.1,-0.028,-1.6,-0.6,-2.2,0.0,
4,Raymond Felton,25,PG,4,4,130,12.7,.497,.310,.286,3.0,6.9,5.0,29.6,0.9,0.0,11.3,20.2,0.1,0.0,0.1,.037,1.6,-1.3,0.3,0.1,
5,D.J. Augustin,22,PG,4,0,73,5.6,.433,.353,.353,1.8,5.3,3.5,16.5,0.8,1.7,16.9,16.0,-0.1,0.0,-0.1,-0.050,-2.1,-1.6,-3.7,0.0,
6,Tyrus Thomas,23,C,4,0,68,23.2,.657,.000,.250,11.4,30.3,20.9,6.8,1.7,3.6,13.1,22.2,0.2,0.1,0.2,.176,3.0,2.0,4.9,0.1,
7,Tyson Chandler,27,C,4,0,60,7.2,.568,.000,.273,6.5,15.0,10.8,6.0,1.9,6.2,24.5,13.4,0.0,0.1,0.0,.031,-6.9,2.9,-4.0,0.0,
8,Larry Hughes,31,SG,4,0,58,14.1,.598,.588,.412,2.2,26.7,14.5,20.2,0.0,0.0,13.0,19.6,0.1,0.0,0.1,.093,0.1,1.1,1.2,0.0,
9,Nazr Mohammed,32,C,4,0,48,18.9,.591,.000,.158,13.5,8.1,10.8,9.9,1.2,5.2,4.7,21.9,0.1,0.0,0.2,.157,0.5,1.4,1.8,0.0,
10,Theo Ratliff,36,C,4,4,47,-2.5,.394,.000,.250,0.0,8.2,4.1,3.6,2.4,0.0,18.4,11.4,-0.1,0.0,-0.1,-0.064,-11.4,1.3,-10.2,-0.1,
11,Stephen Graham,27,SG,2,0,5,-31.2,.000,.250,.000,0.0,0.0,0.0,30.7,11.2,0.0,20.0,49.4,-0.1,0.0,-0.1,-1.080,-32.9,-2.4,-35.3,0.0,
12,Derrick Brown,22,SF,2,0,1,90.6,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,1.495,47.2,11.9,59.1,0.0,
