Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,LaMarcus Aldridge,25,PF,6,6,258,19.2,.498,.000,.209,7.9,13.5,10.8,6.4,1.8,3.5,6.7,26.6,0.3,0.1,0.4,.073,1.4,-0.5,1.0,0.2,
2,Gerald Wallace,28,PF,6,6,226,18.1,.561,.254,.478,5.1,24.5,15.1,13.5,2.0,1.2,15.6,21.7,0.3,0.2,0.5,.104,1.1,1.6,2.7,0.3,
3,Wesley Matthews,24,SG,6,6,202,12.8,.597,.368,.333,1.3,3.0,2.2,5.3,1.1,0.4,9.7,18.3,0.4,-0.1,0.3,.064,0.2,-1.1,-0.9,0.1,
4,Andre Miller,34,PG,6,6,194,18.9,.574,.149,.358,3.3,8.7,6.1,32.7,0.6,0.0,14.4,23.8,0.5,-0.1,0.4,.106,2.9,-1.4,1.5,0.2,
5,Marcus Camby,36,C,6,6,167,13.1,.459,.045,.091,13.8,28.9,21.6,7.6,1.4,4.8,17.9,8.5,0.1,0.2,0.3,.089,-0.5,1.9,1.4,0.1,
6,Nicolas Batum,22,SF,6,0,151,10.3,.503,.565,.087,0.8,7.2,4.1,9.4,1.9,3.0,12.8,18.5,0.0,0.0,0.0,-0.003,-0.6,0.8,0.2,0.1,
7,Brandon Roy,26,SG,6,0,138,16.3,.563,.318,.295,1.9,9.6,5.8,23.2,0.4,0.0,7.4,19.9,0.3,0.0,0.3,.102,1.7,0.0,1.7,0.1,
8,Rudy Fernández,25,SG,6,0,81,6.8,.387,.556,.500,3.2,14.9,9.2,9.6,1.4,1.1,8.3,15.1,-0.1,0.0,0.0,-0.022,-3.2,-0.2,-3.4,0.0,
9,Chris Johnson,25,C,4,0,19,16.4,1.064,.000,2.000,0.0,31.7,16.3,0.0,0.0,9.4,0.0,5.0,0.1,0.0,0.1,.222,-0.2,5.3,5.1,0.0,
10,Patty Mills,22,PG,2,0,5,-26.8,.000,.500,.000,0.0,24.1,12.4,0.0,0.0,0.0,33.3,30.6,-0.1,0.0,-0.1,-0.811,-23.2,-11.7,-34.8,0.0,
11,Earl Barron,29,C,1,0,0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,
12,Armon Johnson,21,PG,2,0,0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,
