Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,John Wall,21,PG,66,66,2386,17.7,.502,.047,.450,2.2,12.0,7.1,36.9,2.1,1.8,19.2,24.9,1.7,1.9,3.5,.071,1.3,-0.6,0.7,1.6,
2,Jordan Crawford,23,SG,64,32,1753,14.5,.488,.313,.233,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,0.3,0.7,1.1,.029,0.4,-2.1,-1.7,0.1,
3,Chris Singleton,22,SF,66,51,1431,8.3,.462,.407,.141,3.4,15.1,9.2,5.0,2.5,1.6,10.3,11.5,0.1,1.5,1.5,.052,-3.5,1.2,-2.2,-0.1,
4,Trevor Booker,24,PF,50,32,1261,15.4,.549,.006,.273,10.6,18.6,14.5,5.1,2.0,2.6,13.2,15.6,1.6,1.4,3.0,.113,-0.8,0.0,-0.8,0.4,
5,Nick Young,26,SG,40,32,1211,14.2,.513,.333,.220,1.8,7.2,4.5,6.8,1.3,0.7,8.3,26.1,1.1,0.4,1.5,.059,0.6,-2.3,-1.7,0.1,
6,Kevin Séraphin,22,C,57,21,1176,15.8,.549,.003,.183,9.8,17.1,13.4,4.8,0.8,5.0,13.8,18.2,1.2,1.1,2.3,.094,-1.4,-0.3,-1.7,0.1,
7,JaVale McGee,24,C,41,40,1124,19.6,.539,.000,.290,12.6,23.8,18.2,3.9,1.2,6.9,13.1,20.7,1.2,1.6,2.8,.120,0.0,0.1,0.1,0.6,
8,Jan Veselý,21,PF,57,20,1078,11.5,.544,.005,.284,10.5,15.6,13.0,6.7,1.9,2.3,19.7,12.7,0.7,1.0,1.7,.076,-3.0,0.4,-2.6,-0.2,
9,Shelvin Mack,21,PG,64,0,779,11.9,.468,.191,.268,1.7,11.7,6.7,26.0,1.9,0.2,16.3,16.9,0.2,0.5,0.7,.042,-2.0,-0.7,-2.6,-0.1,
10,Rashard Lewis,32,SF,28,15,729,9.3,.457,.303,.167,5.2,11.7,8.4,5.7,1.6,1.1,11.9,16.5,-0.2,0.4,0.3,.018,-2.3,-1.3,-3.5,-0.3,
11,Roger Mason,31,SG,52,0,697,12.1,.530,.597,.105,1.1,10.1,5.6,11.0,1.0,0.6,10.6,19.4,0.6,0.2,0.9,.059,0.8,-1.8,-1.0,0.2,
12,Andray Blatche,25,PF,26,13,626,10.6,.415,.029,.200,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,-0.8,0.6,-0.1,-0.011,-3.4,-1.4,-4.8,-0.4,
13,Cartier Martin,27,SF,17,2,391,12.8,.555,.560,.142,3.4,13.4,8.4,4.2,1.5,0.4,8.4,17.8,0.5,0.2,0.7,.090,-0.1,-1.0,-1.1,0.1,
14,Maurice Evans,33,SF,24,0,343,9.0,.497,.402,.116,2.6,5.3,3.9,4.2,2.1,0.0,7.8,16.7,0.2,0.1,0.3,.041,-2.9,-0.8,-3.6,-0.1,
15,Nenê,29,C,11,6,284,24.2,.624,.018,.313,7.9,25.3,16.5,12.8,1.1,3.5,13.0,23.1,0.8,0.3,1.1,.191,3.5,1.5,5.0,0.5,
16,James Singleton,30,PF,12,0,262,19.6,.600,.120,.200,10.7,24.3,17.4,9.5,1.8,2.3,10.9,15.6,0.7,0.3,1.0,.186,1.2,0.5,1.7,0.2,
17,Brian Cook,31,PF,16,0,155,10.4,.484,.469,.122,4.3,25.0,14.6,8.2,1.3,0.5,11.9,16.9,0.0,0.2,0.2,.058,-3.4,-0.3,-3.7,-0.1,
18,Morris Almond,26,SG,4,0,67,8.7,.382,.176,.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,-0.1,0.1,0.0,.032,-6.0,4.2,-1.8,0.0,
19,Ronny Turiaf,29,C,4,0,58,10.8,1.000,.000,.000,1.9,21.6,11.7,12.2,5.4,4.0,66.7,6.9,-0.1,0.1,0.1,.057,-4.7,6.0,1.3,0.0,
20,Edwin Ubiles,25,SF,4,0,52,7.3,.362,.278,.167,4.3,17.5,10.9,2.9,1.0,1.5,4.9,17.5,-0.1,0.0,0.0,-0.026,-2.4,-1.5,-3.9,0.0,
21,Hamady N'Diaye,25,C,3,0,3,-13.1,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,-0.369,-12.3,-8.8,-21.1,0.0,
