Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Monta Ellis,27,SG,4,4,152,12.3,.459,.345,.291,1.5,9.5,5.2,27.1,3.5,0.6,18.4,23.6,-0.2,0.1,-0.2,-0.050,-1.1,0.7,-0.3,0.1,
2,Luc Mbah a Moute,26,SF,4,4,136,9.3,.534,.174,.783,3.4,9.6,6.3,8.3,1.6,0.0,13.9,12.4,0.1,0.0,0.1,.029,-2.5,0.6,-2.0,0.0,
3,Brandon Jennings,23,PG,4,4,133,9.9,.408,.491,.316,0.9,7.9,4.2,21.3,3.6,0.7,14.5,26.9,-0.3,0.1,-0.3,-0.094,-2.0,-0.8,-2.8,0.0,
4,Ersan İlyasova,25,PF,4,4,117,15.9,.491,.217,.043,9.9,21.2,15.2,11.5,2.3,0.8,11.3,21.3,0.0,0.1,0.1,.037,1.1,-0.5,0.5,0.1,
5,Larry Sanders,24,C,4,4,113,14.3,.568,.000,.333,11.3,25.4,17.9,8.4,1.4,4.0,24.1,20.8,0.0,0.1,0.0,.015,-3.7,1.1,-2.7,0.0,
6,Mike Dunleavy,32,SF,4,0,91,24.7,.721,.533,.300,3.8,18.7,10.8,17.4,1.2,0.0,8.1,19.1,0.4,0.0,0.4,.224,7.4,1.8,9.2,0.3,
7,JJ Redick,28,SG,4,0,69,8.3,.551,.480,.120,0.0,5.7,2.7,13.6,0.8,0.0,18.6,22.1,0.0,0.0,-0.1,-0.042,-3.0,-1.3,-4.4,0.0,
8,Ekpe Udoh,25,C,4,0,54,9.1,.444,.000,.000,6.4,7.3,6.8,3.0,2.0,3.4,0.0,7.9,0.0,0.0,0.0,.036,-2.1,0.9,-1.2,0.0,
9,Marquis Daniels,32,SF,3,0,33,14.9,.545,.182,.000,0.0,15.8,7.4,23.7,1.6,0.0,8.3,17.1,0.0,0.0,0.0,.069,-0.6,1.7,1.0,0.0,
10,John Henson,22,PF,4,0,33,-0.1,.273,.091,.000,0.0,31.7,14.9,5.0,3.2,0.0,15.4,18.6,-0.2,0.0,-0.1,-0.180,-9.6,-0.8,-10.4,-0.1,
11,Ish Smith,24,PG,4,0,11,0.8,.000,.000,.000,0.0,11.9,5.6,39.4,0.0,0.0,50.0,8.6,0.0,0.0,0.0,-0.145,-6.9,-3.0,-9.9,0.0,
12,Samuel Dalembert,31,C,1,0,9,-15.5,.133,.000,2.000,12.9,29.0,20.4,0.0,5.9,0.0,34.7,30.1,-0.1,0.0,-0.1,-0.544,-22.3,-4.1,-26.4,-0.1,
13,Gustavo Ayón,27,C,3,0,7,14.1,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,-0.045,0.3,-3.9,-3.6,0.0,
