Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kemba Walker,23,PG,73,73,2614,16.8,.499,.286,.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,1.8,3.3,5.1,.093,1.4,0.3,1.7,2.4,
2,Al Jefferson,29,C,73,73,2553,22.7,.532,.011,.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,.146,2.2,0.5,2.7,3.0,"MVP-8,NBA3"
3,Gerald Henderson,26,SG,77,77,2461,13.1,.507,.124,.332,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,0.8,2.8,3.6,.071,-1.6,0.1,-1.5,0.3,
4,Josh McRoberts,26,PF,78,78,2360,13.8,.548,.514,.150,4.0,13.8,8.9,21.9,1.3,1.5,12.1,13.4,3.5,3.0,6.5,.132,0.5,1.5,2.0,2.3,
5,Michael Kidd-Gilchrist,20,SF,62,62,1502,12.0,.516,.025,.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,0.9,2.2,3.1,.098,-2.9,0.8,-2.1,0.0,
6,Cody Zeller,21,C,82,3,1416,13.1,.498,.002,.495,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,0.4,2.2,2.6,.090,-2.9,0.9,-2.0,0.0,
7,Ramon Sessions,27,PG,55,7,1305,14.6,.509,.146,.503,1.9,8.3,5.1,26.2,1.3,0.4,14.1,23.4,0.8,1.3,2.0,.075,-0.5,-0.7,-1.3,0.2,
8,Anthony Tolliver,28,PF,64,9,1298,11.0,.605,.805,.134,2.9,11.8,7.3,5.0,0.8,0.9,6.6,12.4,1.9,1.3,3.2,.117,0.1,-0.1,0.0,0.6,
9,Bismack Biyombo,21,C,77,9,1072,13.3,.606,.000,.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,.144,-2.9,1.7,-1.2,0.2,
10,Chris Douglas-Roberts,27,SF,49,8,1016,12.2,.588,.524,.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,1.1,1.2,2.4,.113,-1.1,0.5,-0.5,0.4,
11,Jeff Taylor,24,SF,26,8,629,5.9,.436,.307,.216,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,-0.8,0.6,-0.2,-0.019,-5.0,-0.4,-5.4,-0.5,
12,Gary Neal,29,SG,22,1,507,14.0,.571,.356,.263,0.4,8.5,4.5,12.6,1.1,0.0,10.4,22.0,0.6,0.5,1.1,.105,-0.9,-0.7,-1.6,0.0,
13,Luke Ridnour,32,PG,25,2,378,8.6,.450,.370,.065,2.4,8.1,5.2,22.4,1.2,1.3,15.3,16.0,-0.2,0.4,0.2,.030,-4.0,-0.3,-4.2,-0.2,
14,Ben Gordon,30,SG,19,0,279,6.4,.422,.269,.194,1.2,9.8,5.5,12.2,1.9,0.6,15.2,22.9,-0.7,0.3,-0.3,-0.058,-5.8,-0.3,-6.0,-0.3,
15,Jeff Adrien,27,PF,25,0,256,14.9,.559,.000,.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.4,0.5,0.9,.170,-1.8,1.7,0.0,0.1,
16,Jannero Pargo,34,PG,29,0,242,18.9,.554,.508,.093,0.5,8.9,4.7,40.3,3.0,0.3,17.5,28.4,0.2,0.4,0.5,.105,2.9,-0.3,2.7,0.3,
17,D.J. White,27,PF,2,0,10,2.4,.000,.000,.000,0.0,22.7,11.3,0.0,5.2,0.0,0.0,4.6,0.0,0.0,0.0,.004,-8.2,2.6,-5.6,0.0,
18,Justin Hamilton,23,C,1,0,4,0.0,,,,0.0,0.0,0.0,0.0,13.0,0.0,100.0,11.5,0.0,0.0,0.0,-0.190,-14.1,5.8,-8.3,0.0,
19,James Southerland,23,SF,1,0,3,-40.6,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,-0.1,0.0,-0.1,-1.119,-31.4,-15.6,-47.0,0.0,
