Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Paul George,23,SF,19,19,781,20.5,.578,.410,.406,2.1,20.0,11.2,17.8,2.9,0.8,11.7,26.3,1.3,1.5,2.7,.169,3.3,2.5,5.9,1.6,
2,Lance Stephenson,23,SG,19,19,705,13.5,.536,.305,.223,4.2,18.0,11.2,20.3,1.2,0.5,16.0,19.9,0.3,1.0,1.2,.085,0.3,0.6,0.9,0.5,
3,George Hill,27,PG,19,19,687,12.8,.561,.433,.343,2.3,10.0,6.2,14.2,1.8,0.5,12.0,16.5,0.7,0.9,1.5,.107,-0.2,1.2,1.0,0.5,
4,David West,33,PF,19,19,687,15.5,.528,.041,.249,4.3,17.9,11.3,20.8,1.1,2.0,13.7,22.4,0.3,1.0,1.3,.093,0.2,1.4,1.6,0.6,
5,Roy Hibbert,27,C,19,19,542,12.1,.511,.007,.388,10.0,13.3,11.7,5.4,0.4,4.4,12.7,17.7,0.2,0.7,0.9,.084,-2.6,0.3,-2.2,0.0,
6,C.J. Watson,29,PG,19,0,342,10.2,.523,.444,.311,1.1,12.8,7.1,8.9,2.5,0.3,12.0,16.6,0.0,0.5,0.5,.068,-3.2,1.6,-1.6,0.0,
7,Luis Scola,33,PF,18,0,243,13.1,.480,.029,.210,5.6,15.1,10.4,7.4,1.3,1.1,5.8,24.4,-0.1,0.3,0.3,.054,-2.1,-0.6,-2.7,0.0,
8,Ian Mahinmi,27,C,19,0,241,8.6,.530,.000,.667,11.3,11.3,11.3,1.9,1.1,6.1,22.3,9.1,0.1,0.4,0.5,.092,-4.0,2.1,-1.9,0.0,
9,Evan Turner,25,SF,12,0,149,9.8,.524,.200,.143,0.0,20.6,10.5,21.3,1.5,0.0,22.8,15.8,-0.1,0.2,0.1,.045,-2.6,1.8,-0.8,0.0,
10,Chris Copeland,29,SF,12,0,82,10.6,.563,.571,.321,1.5,5.8,3.7,2.2,2.0,3.4,13.5,22.0,0.0,0.1,0.1,.055,-1.2,-1.1,-2.3,0.0,
11,Rasual Butler,34,SG,11,0,70,9.1,.598,.800,.133,0.0,10.1,5.2,2.3,0.8,1.3,5.9,11.8,0.1,0.1,0.1,.093,0.6,0.1,0.7,0.0,
12,Lavoy Allen,24,PF,4,0,15,14.3,.500,.000,.000,8.2,31.5,20.1,11.8,0.0,0.0,0.0,13.0,0.0,0.0,0.0,.144,0.8,-1.0,-0.2,0.0,
13,Donald Sloan,26,SG,4,0,15,9.3,.400,.571,.571,0.0,7.9,4.0,35.3,3.6,0.0,18.6,35.0,-0.1,0.0,0.0,-0.132,-1.2,-1.3,-2.5,0.0,
14,Solomon Hill,22,SF,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.018,-2.8,-0.3,-3.0,0.0,
