Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Marc Gasol,29,C,7,7,299,14.7,.462,.009,.293,4.6,16.1,10.1,18.4,2.2,1.7,8.4,22.0,0.0,0.4,0.4,.065,0.4,1.9,2.4,0.3,
2,Mike Conley,26,PG,7,7,267,17.7,.489,.265,.255,2.0,11.9,6.7,37.0,2.8,0.3,11.7,22.1,0.2,0.3,0.5,.088,2.0,1.9,3.9,0.4,
3,Zach Randolph,32,PF,6,6,234,13.6,.447,.010,.394,7.8,17.6,12.4,11.0,1.2,0.4,7.6,25.9,-0.1,0.2,0.1,.018,0.6,-0.5,0.0,0.1,
4,Tony Allen,32,SG,7,1,230,15.6,.529,.097,.292,10.7,15.8,13.1,7.6,2.8,0.4,12.9,18.6,0.2,0.3,0.5,.097,-0.1,2.2,2.1,0.2,
5,Courtney Lee,28,SG,7,7,224,8.8,.515,.317,.300,1.4,5.8,3.5,8.0,1.2,0.8,8.1,15.2,0.1,0.1,0.2,.043,-1.9,0.2,-1.6,0.0,
6,Mike Miller,33,SF,7,1,173,10.1,.555,.690,.214,1.2,16.3,8.4,8.2,1.9,0.0,9.8,13.5,0.1,0.2,0.3,.085,0.0,1.4,1.4,0.1,
7,Beno Udrih,31,SG,7,0,115,13.2,.542,.267,.289,1.9,10.2,5.8,19.3,1.4,0.0,15.1,23.9,0.0,0.1,0.1,.034,-0.4,0.4,0.0,0.0,
8,Tayshaun Prince,33,SF,7,6,113,5.2,.404,.154,.000,3.8,6.2,5.0,8.4,0.5,0.0,3.7,11.0,0.0,0.0,0.0,-0.001,-3.5,-0.4,-3.9,-0.1,
9,Kosta Koufos,24,C,7,0,45,19.1,.507,.000,.250,16.6,20.9,18.7,7.8,2.4,5.8,14.5,21.2,0.0,0.1,0.1,.117,-0.5,2.3,1.8,0.0,
10,James Johnson,26,SF,3,0,28,21.4,.490,.333,.667,15.3,8.4,12.0,0.0,1.9,0.0,0.0,31.8,0.1,0.0,0.1,.160,8.1,-0.6,7.5,0.1,
11,Ed Davis,24,PF,7,0,25,16.9,.287,.000,.100,34.2,32.9,33.6,0.0,2.2,10.4,16.1,22.9,-0.1,0.1,0.0,-0.028,-2.4,-2.5,-4.9,0.0,
12,Jon Leuer,24,PF,3,0,23,22.1,.571,.286,.286,9.3,30.7,19.5,14.7,2.3,0.0,0.0,15.7,0.1,0.0,0.1,.252,6.1,0.8,6.9,0.1,
13,Jamaal Franklin,22,SG,2,0,4,-11.1,.174,.000,1.000,0.0,29.4,14.0,0.0,0.0,0.0,0.0,33.1,0.0,0.0,0.0,-0.428,-13.7,-7.6,-21.3,0.0,
