Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Tim Duncan,37,C,74,74,2158,21.3,.535,.006,.349,8.6,28.3,18.8,16.0,1.0,4.6,13.2,25.2,2.8,4.6,7.4,.164,1.2,2.1,3.3,2.9,"MVP-12,DPOY-13"
2,Marco Belinelli,27,SF,80,25,2016,15.0,.605,.422,.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,3.5,2.4,5.9,.140,1.0,0.3,1.3,1.7,6MOY-11
3,Tony Parker,31,PG,68,68,1997,18.9,.555,.073,.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,3.9,1.9,5.9,.141,2.0,-1.2,0.9,1.5,"MVP-12,AS,NBA2"
4,Boris Diaw,31,PF,79,24,1974,14.1,.578,.193,.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,2.3,2.6,4.9,.120,0.4,0.9,1.3,1.6,
5,Kawhi Leonard,22,SF,66,65,1923,19.4,.602,.282,.195,4.6,18.9,12.1,10.4,3.0,1.9,10.3,18.3,3.8,3.9,7.7,.193,2.1,3.0,5.1,3.5,DPOY-11
6,Danny Green,26,SG,68,59,1651,13.9,.580,.630,.125,1.8,13.4,7.8,8.9,2.0,2.7,12.5,16.7,1.4,2.8,4.2,.122,1.2,2.0,3.2,2.2,
7,Manu Ginóbili,36,SG,68,3,1550,20.0,.590,.411,.300,2.3,12.0,7.3,29.0,2.3,0.8,16.4,24.7,3.3,2.4,5.7,.176,2.8,1.2,4.0,2.4,6MOY-3
8,Patty Mills,25,PG,81,2,1527,18.7,.588,.477,.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,3.4,2.1,5.6,.175,2.9,1.1,4.0,2.3,6MOY-13
9,Tiago Splitter,29,C,59,50,1271,16.5,.572,.009,.500,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,2.3,2.1,4.3,.163,-0.3,0.9,0.6,0.8,
10,Jeff Ayres,26,PF,73,10,952,11.1,.605,.000,.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,1.0,1.4,2.4,.121,-3.0,1.0,-2.1,0.0,
11,Cory Joseph,22,SG,68,19,936,14.7,.558,.143,.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,1.6,1.3,2.9,.148,-0.4,1.3,0.9,0.7,
12,Matt Bonner,33,PF,61,0,690,11.2,.582,.598,.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1.0,1.8,.123,0.0,1.1,1.0,0.5,
13,Aron Baynes,27,C,53,4,491,9.7,.467,.000,.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,.055,-4.7,-1.0,-5.7,-0.5,
14,Nando De Colo,26,SF,26,3,301,13.2,.545,.333,.237,2.3,14.0,8.4,15.1,2.5,0.7,17.0,18.6,0.1,0.5,0.6,.101,-1.5,1.7,0.1,0.2,
15,Austin Daye,25,SF,14,1,115,13.5,.499,.527,.127,3.1,16.0,9.8,7.9,1.8,2.5,7.9,24.8,0.0,0.2,0.2,.080,-1.6,-0.4,-1.9,0.0,
16,Shannon Brown,28,SG,10,1,103,-0.5,.360,.071,.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,-0.3,0.1,-0.2,-0.102,-8.8,-1.5,-10.3,-0.2,
17,Damion James,26,SF,5,1,50,4.1,.304,.222,.222,2.4,23.8,13.5,7.5,0.0,1.4,9.2,9.8,-0.1,0.1,0.0,.010,-4.9,0.2,-4.7,0.0,
18,Othyus Jeffers,28,SG,4,1,34,8.9,.595,.200,.400,3.5,15.9,9.9,3.9,0.0,0.0,0.0,7.8,0.1,0.0,0.1,.121,-0.9,0.0,-0.9,0.0,
19,Malcolm Thomas,25,PF,1,0,15,6.6,.205,.000,.500,7.8,57.8,33.8,0.0,0.0,9.6,17.0,17.7,-0.1,0.0,0.0,-0.107,-8.3,1.0,-7.4,0.0,
