Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kemba Walker,25,PG,7,7,260,18.2,.472,.281,.229,1.2,8.5,4.6,24.0,1.8,1.2,6.7,33.0,-0.1,0.2,0.1,.016,3.8,-0.4,3.4,0.4,
2,Courtney Lee,30,SG,7,7,257,8.5,.521,.176,.294,2.1,7.2,4.4,6.0,1.2,0.9,8.0,11.6,0.1,0.1,0.2,.045,-2.8,0.6,-2.2,0.0,
3,Marvin Williams,29,PF,7,7,228,6.0,.341,.333,.078,3.3,22.1,12.0,4.4,1.4,1.0,3.7,11.4,-0.3,0.2,-0.1,-0.021,-3.3,-0.9,-4.2,-0.1,
4,Frank Kaminsky,22,C,7,5,190,10.3,.453,.370,.457,1.7,17.4,9.0,7.1,1.7,2.1,3.5,14.3,0.0,0.2,0.2,.048,-1.4,1.6,0.2,0.1,
5,Jeremy Lin,27,SG,7,0,189,14.5,.543,.222,.619,1.7,8.4,4.8,18.1,1.4,0.0,12.1,23.0,0.2,0.1,0.3,.069,-0.7,0.2,-0.5,0.1,
6,Al Jefferson,31,C,7,5,168,21.8,.524,.000,.157,8.9,21.2,14.6,11.5,1.3,1.4,6.3,26.8,0.2,0.2,0.4,.108,2.7,-0.2,2.5,0.2,
7,Nicolas Batum,27,SF,5,2,144,12.1,.530,.489,.444,1.5,13.6,7.1,12.7,0.7,0.0,12.9,20.4,0.0,0.1,0.1,.031,-0.1,-2.3,-2.4,0.0,
8,Cody Zeller,23,C,7,2,137,16.8,.624,.000,.553,7.0,25.1,15.4,2.9,0.4,1.7,12.9,18.9,0.3,0.1,0.4,.141,-0.9,0.5,-0.4,0.1,
9,Spencer Hawes,27,PF,5,0,53,14.9,.575,.308,.462,6.1,30.1,17.3,10.3,1.0,3.0,20.4,17.6,0.0,0.1,0.1,.084,-1.0,2.2,1.2,0.0,
10,Troy Daniels,24,SG,4,0,18,-11.7,.125,.375,.000,0.0,13.6,6.3,0.0,0.0,0.0,0.0,21.2,-0.2,0.0,-0.1,-0.395,-13.1,-7.1,-20.2,-0.1,
11,Jorge Gutiérrez,27,PG,3,0,12,-7.0,.000,.000,.000,0.0,20.4,9.5,25.1,0.0,0.0,25.0,15.9,-0.1,0.0,-0.1,-0.357,-12.0,-6.6,-18.6,0.0,
12,Jeremy Lamb,23,SG,3,0,12,39.5,.611,.111,.000,8.9,30.7,19.0,33.7,0.0,0.0,0.0,35.7,0.1,0.0,0.1,.255,17.0,1.0,18.0,0.1,
13,Aaron Harrison,21,SG,2,0,7,-0.6,,,,0.0,17.5,8.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.018,-9.6,1.1,-8.5,0.0,
14,Tyler Hansbrough,30,PF,2,0,6,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.011,-3.0,-3.5,-6.5,0.0,
