Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Luol Deng,30,PF,14,14,495,15.5,.601,.413,.275,4.8,14.5,9.9,7.2,1.4,1.4,12.9,17.1,0.8,0.8,1.6,.158,2.0,1.1,3.2,0.6,
2,Joe Johnson,34,SF,14,14,492,11.6,.504,.291,.152,1.8,13.5,7.9,11.6,0.9,0.5,9.6,18.1,0.3,0.6,0.9,.090,-1.1,-0.2,-1.3,0.1,
3,Dwyane Wade,34,SG,14,14,473,22.3,.532,.091,.252,3.2,15.9,9.9,25.4,1.2,2.1,11.9,32.2,0.7,0.8,1.5,.148,4.2,0.7,4.9,0.8,
4,Goran Dragić,29,PG,14,14,472,15.1,.514,.223,.209,2.9,13.8,8.6,20.5,0.7,0.5,12.1,25.8,0.4,0.6,1.0,.099,0.0,-0.8,-0.7,0.1,
5,Josh Richardson,22,SG,14,0,387,8.8,.489,.517,.157,3.2,11.6,7.6,8.5,0.8,2.6,11.2,13.2,0.1,0.6,0.7,.085,-1.6,0.9,-0.8,0.1,
6,Justise Winslow,19,SF,13,2,330,10.1,.516,.243,.405,6.4,15.7,11.3,3.7,1.3,0.9,12.1,14.3,0.2,0.5,0.7,.101,-2.2,0.8,-1.4,0.1,
7,Hassan Whiteside,26,C,10,10,291,24.3,.679,.000,.638,11.1,32.1,22.1,1.7,1.5,7.5,12.8,16.6,0.8,0.8,1.7,.275,2.1,3.7,5.8,0.6,
8,Josh McRoberts,28,PF,10,0,134,13.7,.519,.206,.176,6.5,15.9,11.5,10.6,2.0,2.9,9.8,14.4,0.2,0.3,0.4,.153,-1.6,3.0,1.4,0.1,
9,Gerald Green,30,SG,12,0,110,6.7,.391,.286,.102,2.3,15.3,9.1,1.5,1.9,0.7,3.8,23.0,-0.2,0.2,0.0,-0.007,-5.3,0.0,-5.3,-0.1,
10,Udonis Haslem,35,PF,9,0,85,11.4,.581,.000,.467,16.1,26.5,21.5,7.2,0.0,0.9,27.9,14.1,0.1,0.1,0.2,.112,-2.4,0.6,-1.9,0.0,
11,Amar'e Stoudemire,33,C,9,2,82,12.4,.666,.000,.421,4.6,13.7,9.4,0.0,3.2,2.8,28.6,18.3,0.0,0.2,0.2,.103,-5.6,1.9,-3.7,0.0,
12,Tyler Johnson,23,SG,5,0,61,15.8,.663,.545,1.000,4.1,9.2,6.8,19.6,0.9,0.0,11.2,13.9,0.2,0.1,0.3,.230,2.2,1.0,3.2,0.1,
13,Dorell Wright,30,SF,5,0,19,36.1,.680,.500,.400,0.0,35.5,18.7,21.6,0.0,0.0,0.0,29.5,0.2,0.0,0.2,.479,9.1,4.6,13.6,0.1,
14,Briante Weber,23,PG,2,0,6,5.4,.000,.000,.000,0.0,0.0,0.0,22.2,8.9,0.0,0.0,7.9,0.0,0.0,0.0,.024,-6.2,9.6,3.4,0.0,
