Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,LeBron James,32,SF,18,18,744,30.1,.649,.279,.422,3.1,21.6,12.8,33.8,2.3,2.6,13.7,31.6,3.2,1.1,4.3,.275,7.7,2.1,9.8,2.2,
2,Kyrie Irving,24,PG,18,18,653,21.3,.573,.319,.227,2.4,6.5,4.6,24.7,1.7,1.0,10.6,31.1,1.6,0.4,2.0,.147,4.0,-1.8,2.2,0.7,
3,Kevin Love,28,PF,18,18,578,19.7,.604,.509,.344,7.6,29.7,19.3,7.5,1.8,2.3,11.0,21.8,1.3,0.9,2.1,.178,3.5,-0.3,3.2,0.8,
4,Tristan Thompson,25,C,18,18,562,14.5,.625,.000,.652,15.1,16.0,15.5,6.1,0.8,1.9,15.1,11.1,1.3,0.4,1.8,.150,0.7,-0.9,-0.1,0.3,
5,J.R. Smith,31,SG,18,18,487,9.9,.698,.808,.111,1.3,8.4,5.0,3.6,1.3,1.0,10.4,10.6,0.7,0.3,1.0,.095,-0.1,0.6,0.5,0.3,
6,Kyle Korver,35,SG,18,0,326,10.2,.622,.863,.125,0.8,9.5,5.4,5.3,1.1,1.3,7.7,12.5,0.4,0.2,0.6,.094,0.6,-1.0,-0.4,0.1,
7,Iman Shumpert,26,SG,17,0,275,9.9,.548,.433,.283,2.7,16.5,10.0,7.6,1.8,0.9,8.2,11.9,0.3,0.3,0.6,.098,-2.2,1.3,-0.9,0.1,
8,Deron Williams,32,PG,18,0,262,10.0,.567,.484,.172,1.4,8.5,5.1,19.4,1.9,0.3,19.8,14.6,0.2,0.2,0.4,.073,-1.9,-0.5,-2.4,0.0,
9,Richard Jefferson,36,SF,14,0,179,7.6,.547,.500,.737,6.9,9.3,8.1,5.1,0.6,1.4,13.7,14.5,0.1,0.1,0.2,.059,-3.5,-1.5,-5.0,-0.1,
10,Channing Frye,33,C,12,0,154,21.3,.698,.650,.117,0.0,15.8,8.3,13.0,1.0,2.2,3.1,18.8,0.6,0.1,0.7,.230,6.3,1.0,7.3,0.4,
11,Derrick Williams,25,PF,8,0,38,17.9,.661,.333,.133,3.2,5.8,4.6,16.4,0.0,2.2,15.9,22.2,0.1,0.0,0.1,.118,4.2,-0.8,3.4,0.1,
12,Dahntay Jones,36,SF,10,0,33,14.9,.656,.200,.500,3.7,20.2,12.4,4.3,0.0,2.5,7.6,17.8,0.1,0.0,0.1,.177,-2.0,0.3,-1.7,0.0,
13,James Jones,36,SF,8,0,30,-5.3,.200,.600,.000,4.1,11.1,7.8,0.0,0.0,0.0,28.6,10.4,-0.1,0.0,-0.1,-0.163,-9.8,-4.6,-14.4,-0.1,
