Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Draymond Green,27,PF,21,21,819,16.2,.529,.411,.255,5.9,23.0,14.9,27.7,2.5,3.3,22.8,15.1,0.9,1.8,2.8,.162,1.1,3.9,5.0,1.4,
2,Kevin Durant,29,SF,21,21,807,25.1,.606,.317,.349,1.9,19.4,11.1,20.7,0.9,2.7,9.1,30.6,2.7,1.3,4.0,.237,6.7,0.9,7.6,2.0,Finals MVP-1
3,Klay Thompson,27,SG,21,21,794,13.9,.579,.459,.091,1.6,9.9,5.9,7.3,1.0,0.7,8.0,21.8,0.9,0.9,1.8,.107,1.1,-1.0,0.1,0.4,
4,Stephen Curry,29,PG,15,14,555,22.3,.590,.533,.155,1.9,15.4,9.0,24.0,2.3,1.7,11.7,29.6,1.1,1.0,2.1,.182,5.8,1.2,7.1,1.3,
5,Andre Iguodala,34,SF,15,12,401,14.7,.610,.435,.400,3.2,14.8,9.3,13.6,2.6,1.5,12.3,12.7,0.7,0.7,1.4,.171,0.0,2.8,2.9,0.5,
6,Kevon Looney,21,C,21,5,387,12.1,.529,.028,.292,12.5,12.7,12.6,6.5,1.8,1.8,9.0,10.3,0.6,0.6,1.2,.150,-1.5,0.8,-0.7,0.1,
7,Shaun Livingston,32,PG,21,0,362,12.6,.579,.009,.227,3.5,10.4,7.1,12.4,1.0,0.2,11.7,16.9,0.5,0.4,0.9,.118,-2.1,0.3,-1.8,0.0,
8,Nick Young,32,SG,20,2,205,3.1,.460,.887,.151,0.6,5.6,3.2,2.5,0.2,0.0,3.4,12.8,-0.1,0.2,0.1,.021,-4.2,-2.0,-6.3,-0.2,
9,Quinn Cook,24,PG,17,0,175,13.3,.544,.463,.254,1.3,12.5,7.2,9.2,1.1,1.0,6.3,20.3,0.2,0.2,0.4,.114,-1.4,-0.3,-1.7,0.0,
10,David West,37,C,18,0,175,19.2,.631,.044,.089,7.2,15.5,11.6,26.1,1.7,5.0,17.6,14.5,0.5,0.3,0.8,.217,1.7,4.1,5.8,0.3,
11,Jordan Bell,23,C,17,0,173,14.6,.537,.031,.438,10.0,19.3,14.9,11.5,1.7,4.6,13.6,11.4,0.2,0.3,0.6,.165,-0.3,2.5,2.2,0.2,
12,JaVale McGee,30,C,13,9,158,23.6,.678,.017,.155,11.7,17.2,14.6,4.2,0.9,6.1,7.5,19.0,0.5,0.3,0.8,.243,1.9,0.8,2.7,0.2,
13,Zaza Pachulia,33,C,7,0,26,35.6,.692,.000,1.714,26.6,24.1,25.3,5.5,5.7,3.4,19.6,26.3,0.1,0.1,0.2,.395,6.3,2.8,9.0,0.1,
14,Patrick McCaw,22,SG,6,0,16,17.9,.694,.500,1.000,7.2,13.1,10.3,0.0,6.2,0.0,0.0,8.1,0.0,0.0,0.1,.263,-0.6,7.4,6.8,0.0,
15,Damian Jones,22,C,4,0,11,-4.7,.602,.000,1.500,10.5,19.0,14.9,0.0,0.0,0.0,47.5,25.7,-0.1,0.0,0.0,-0.177,-18.4,-2.9,-21.4,-0.1,
