Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Thaddeus Young,29,PF,81,81,2607,14.8,.528,.209,.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,.101,-0.2,0.4,0.2,1.4,
2,Victor Oladipo,25,SG,75,75,2552,23.1,.577,.323,.274,2.1,15.1,8.6,21.2,3.5,2.0,12.7,30.1,4.3,4.0,8.2,.155,4.1,1.7,5.8,5.0,"MVP-13,DPOY-15,MIP-1,AS,NBA3"
3,Bojan Bogdanović,28,SF,80,80,2464,13.9,.605,.453,.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19.0,3.8,1.6,5.4,.105,0.5,-1.2,-0.7,0.8,
4,Cory Joseph,26,PG,82,17,2210,11.0,.503,.315,.156,2.0,11.4,6.7,16.1,1.8,0.7,11.9,14.8,1.2,2.0,3.1,.068,-1.8,0.3,-1.5,0.3,
5,Darren Collison,30,PG,69,64,2018,18.8,.610,.321,.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,.181,2.4,0.3,2.7,2.4,
6,Lance Stephenson,27,SG,82,7,1850,12.4,.495,.327,.179,3.8,22.0,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2.0,1.8,.046,-1.5,-0.3,-1.8,0.1,
7,Myles Turner,21,C,65,62,1836,16.6,.567,.246,.322,5.8,19.8,12.8,7.0,1.0,5.7,11.6,20.0,2.2,2.5,4.7,.122,-0.6,0.4,-0.2,0.8,
8,Domantas Sabonis,21,C,74,19,1810,17.5,.567,.056,.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,.126,-0.6,-0.5,-1.1,0.4,
9,Joe Young,25,PG,53,1,558,10.1,.521,.355,.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18.0,0.1,0.4,0.5,.043,-2.3,-1.2,-3.5,-0.2,
10,Al Jefferson,33,C,36,1,484,20.2,.563,.014,.173,7.0,26.2,16.7,10.0,1.7,4.2,8.6,22.5,0.8,0.8,1.6,.158,0.6,1.5,2.0,0.5,
11,T.J. Leaf,20,PF,53,0,459,10.7,.545,.309,.118,7.2,13.0,10.1,2.8,0.5,0.8,6.5,14.9,0.5,0.3,0.8,.082,-1.4,-1.7,-3.1,-0.1,
12,Glenn Robinson III,24,SF,23,1,338,10.8,.529,.400,.129,3.7,8.6,6.2,6.8,1.9,0.3,5.3,12.5,0.4,0.3,0.6,.088,-1.2,0.4,-0.7,0.1,
13,Trevor Booker,30,PF,17,1,269,14.7,.512,.167,.131,13.5,18.8,16.2,9.0,0.7,1.6,9.2,16.2,0.4,0.2,0.7,.118,-0.3,-0.8,-1.1,0.1,
14,Damien Wilkins,38,SF,19,1,152,4.9,.405,.462,.103,3.7,8.1,5.9,7.8,0.7,0.6,10.9,13.4,-0.1,0.1,-0.1,-0.019,-4.2,-1.9,-6.1,-0.2,
15,Alex Poythress,24,PF,25,0,104,7.8,.500,.423,.000,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12.0,0.1,0.1,0.1,.066,-3.8,-1.3,-5.1,-0.1,
16,Ike Anigbogu,19,C,11,0,30,21.6,.558,.000,.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.1,0.0,0.1,.165,1.8,0.1,1.9,0.0,
17,Ben Moore,22,PF,2,0,9,-2.3,,,,0.0,12.5,6.3,13.1,0.0,0.0,,0.0,0.0,0.0,0.0,.072,-10.5,1.3,-9.3,0.0,
18,Edmond Sumner,22,PG,1,0,2,39.8,1.000,.000,.000,0.0,56.1,28.2,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,.425,-2.4,9.3,6.9,0.0,
19,Trey McKinney-Jones,27,SG,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-6.2,-2.3,-8.5,0.0,
