Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jimmy Butler,28,SG,5,5,170,16.9,.557,.270,.286,2.0,16.7,9.6,18.8,1.2,0.6,6.6,20.4,0.3,0.0,0.3,.098,2.3,0.3,2.6,0.2,
2,Karl-Anthony Towns,22,C,5,5,170,16.9,.542,.183,.383,9.9,32.2,21.4,10.3,0.6,3.2,14.6,22.0,0.1,0.1,0.2,.066,1.3,-0.6,0.8,0.1,
3,Andrew Wiggins,22,SF,5,5,164,11.7,.514,.309,.294,3.4,13.5,8.6,10.0,0.6,1.3,10.5,23.9,0.0,0.0,0.0,-0.012,-0.8,-1.0,-1.7,0.0,
4,Jeff Teague,29,PG,5,5,153,13.2,.556,.353,.333,2.2,10.3,6.4,29.6,1.0,1.4,19.3,21.6,0.1,0.0,0.1,.028,-0.1,-1.1,-1.2,0.0,
5,Jamal Crawford,37,SG,5,0,123,15.6,.560,.362,.277,0.9,10.3,5.7,15.7,2.1,0.0,8.7,21.4,0.2,0.0,0.2,.065,1.6,0.9,2.5,0.1,
6,Taj Gibson,32,PF,5,5,123,10.5,.665,.000,.136,6.4,11.1,8.8,2.4,0.4,1.8,14.6,10.1,0.2,0.0,0.1,.052,-0.9,-0.5,-1.4,0.0,
7,Derrick Rose,29,PG,5,0,119,16.6,.591,.175,.123,0.9,7.1,4.1,19.9,0.8,0.0,11.8,26.1,0.1,0.0,0.1,.044,1.1,-0.4,0.7,0.1,
8,Gorgui Dieng,28,C,5,0,70,11.2,.430,.278,.222,4.8,22.6,14.0,8.1,1.4,6.1,4.8,13.5,0.0,0.1,0.1,.037,-0.6,1.8,1.1,0.1,
9,Tyus Jones,21,PG,4,0,55,6.1,.286,.286,.000,0.0,17.2,8.9,19.3,0.9,0.0,12.5,6.6,0.0,0.0,0.0,-0.021,-4.1,0.4,-3.7,0.0,
10,Nemanja Bjelica,29,PF,5,0,47,21.6,.603,.438,.438,9.5,24.6,17.3,9.9,3.2,0.0,5.0,19.5,0.1,0.0,0.2,.195,5.3,3.4,8.7,0.1,
11,Aaron Brooks,33,PG,2,0,3,27.9,.515,.333,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,-0.200,5.5,-5.3,0.2,0.0,
12,Marcus Georges-Hunt,23,SG,2,0,3,0.0,.000,.000,.000,37.4,0.0,18.1,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,-0.223,-2.5,-8.4,-10.9,0.0,
