Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Danilo Gallinari,30,SF,6,6,201,13.7,.474,.387,.297,4.7,16.5,10.3,12.5,1.9,0.4,8.1,28.3,0.0,-0.1,-0.1,-0.034,0.6,-3.0,-2.4,0.0,
2,Patrick Beverley,30,PG,6,6,195,13.6,.584,.638,.170,4.3,24.3,13.7,19.7,1.4,2.6,16.5,12.9,0.3,-0.1,0.2,.051,0.9,1.4,2.3,0.2,
3,Lou Williams,32,SG,6,0,176,21.3,.533,.173,.394,3.6,7.4,5.4,45.5,1.3,0.5,12.9,33.1,0.4,-0.2,0.2,.059,4.0,-2.7,1.3,0.1,
4,Landry Shamet,21,SG,6,6,174,6.4,.542,.816,.263,0.6,7.5,3.8,7.6,1.6,0.0,14.2,11.8,0.0,-0.2,-0.1,-0.037,-2.9,-1.2,-4.1,-0.1,
5,Shai Gilgeous-Alexander,20,PG,6,6,173,16.6,.596,.300,.333,2.4,8.2,5.2,16.4,1.6,2.4,6.8,17.8,0.4,-0.1,0.3,.085,2.1,0.8,2.9,0.2,
6,Montrezl Harrell,25,C,6,0,158,26.7,.739,.016,.413,8.0,15.8,11.6,15.3,0.9,2.1,9.7,21.7,0.8,-0.1,0.6,.193,5.2,0.5,5.7,0.3,
7,JaMychal Green,28,PF,6,3,141,13.0,.696,.535,.233,4.5,21.9,12.6,5.3,1.3,0.0,18.8,17.2,0.2,-0.1,0.1,.031,-0.2,-0.5,-0.6,0.0,
8,Garrett Temple,32,SG,6,0,63,5.2,.455,.636,.909,1.7,11.3,6.2,4.1,2.2,1.3,11.5,11.5,0.0,0.0,-0.1,-0.047,-5.5,0.5,-5.0,0.0,
9,Wilson Chandler,31,SF,4,0,52,2.6,.422,.625,.250,0.0,13.7,6.4,5.2,1.8,0.0,14.5,16.6,-0.1,0.0,-0.1,-0.127,-7.0,-1.4,-8.4,-0.1,
10,Jerome Robinson,21,SG,5,0,46,15.7,.556,.429,.357,4.6,10.3,7.3,21.1,2.0,0.0,5.8,15.6,0.1,0.0,0.1,.095,2.6,1.6,4.2,0.1,
11,Ivica Zubac,21,C,4,3,39,22.8,.518,.000,.167,29.6,33.4,31.4,4.3,2.4,4.3,17.2,24.9,0.0,0.0,0.1,.069,2.2,-2.4,-0.2,0.0,
12,Sindarius Thornwell,24,SG,4,0,12,8.9,.417,.500,.000,0.0,39.5,18.6,0.0,3.9,0.0,0.0,20.8,0.0,0.0,0.0,-0.052,-4.8,2.5,-2.3,0.0,
13,Tyrone Wallace,24,PG,2,0,11,4.4,.376,.000,.750,0.0,10.8,5.1,36.9,0.0,0.0,15.8,23.9,0.0,0.0,0.0,-0.148,-5.6,-0.8,-6.4,0.0,
