Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rudy Gobert,27,C,7,7,270,20.4,.638,.000,.568,10.6,23.8,17.4,4.6,0.8,3.6,8.9,17.6,0.7,0.1,0.9,.156,0.6,-0.5,0.1,0.1,
2,Donovan Mitchell,23,SG,7,7,264,33.7,.696,.408,.369,2.7,12.6,7.8,25.6,1.4,0.7,13.7,37.5,1.4,0.0,1.4,.260,9.3,0.2,9.5,0.7,
3,Royce O'Neale,26,SF,7,7,249,6.2,.563,.688,.188,1.4,16.1,8.9,10.0,1.9,0.8,27.3,9.0,0.0,0.1,0.0,.009,-3.3,1.6,-1.7,0.0,
4,Joe Ingles,32,PF,7,7,234,12.0,.565,.741,.111,0.5,11.3,6.0,19.5,0.9,0.4,6.6,12.1,0.5,0.0,0.5,.093,-0.1,-0.2,-0.3,0.1,
5,Jordan Clarkson,27,SG,7,0,200,18.0,.577,.505,.103,1.2,12.6,7.0,12.6,1.6,0.0,6.5,25.4,0.4,0.0,0.4,.093,0.9,-0.9,0.0,0.1,
6,Mike Conley,32,PG,5,5,165,26.3,.672,.531,.344,2.2,7.7,5.0,25.0,2.5,0.6,6.4,22.3,0.8,0.0,0.9,.255,6.8,2.4,9.2,0.5,
7,Georges Niang,26,PF,7,0,114,16.9,.646,.659,.045,4.2,11.1,7.7,5.6,0.0,0.9,4.3,19.2,0.3,0.0,0.3,.114,2.4,-2.1,0.3,0.1,
8,Juwan Morgan,22,PF,7,2,86,5.4,.342,.833,.500,8.3,20.0,14.3,7.4,1.2,0.0,6.4,8.5,0.0,0.0,0.0,.016,-3.8,-0.3,-4.1,0.0,
9,Tony Bradley,22,C,6,0,48,12.8,.373,.000,.778,24.9,31.1,28.1,2.7,2.2,4.0,24.9,15.7,0.0,0.1,0.0,.031,-3.7,-3.3,-7.0,-0.1,
10,Emmanuel Mudiay,23,PG,3,0,34,9.8,.437,.214,.143,3.5,16.9,10.3,8.8,0.0,2.9,6.3,21.9,0.0,0.0,0.0,-0.043,-3.0,-3.6,-6.6,0.0,
11,Miye Oni,22,SF,2,0,14,22.3,.583,.667,.000,17.1,16.4,16.7,0.0,3.7,6.9,14.3,23.4,0.0,0.0,0.0,.113,-0.8,2.7,1.8,0.0,
12,Jarrell Brantley,23,PF,2,0,13,-5.3,.085,.600,.400,27.6,8.8,18.0,18.8,0.0,7.5,14.5,24.8,-0.1,0.0,-0.1,-0.287,-16.9,-4.8,-21.7,-0.1,
13,Rayjon Tucker,22,SG,2,0,11,1.6,.500,.600,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,25.5,0.0,0.0,0.0,-0.181,-8.1,-5.1,-13.2,0.0,
14,Nigel Williams-Goss,25,PG,1,0,2,17.9,,,,0.0,0.0,0.0,61.1,0.0,0.0,,0.0,0.0,0.0,0.0,.233,4.8,1.0,5.8,0.0,
