Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,De'Aaron Fox,25,PG,7,7,270,18.9,.524,.382,.248,4.4,10.1,7.2,33.6,2.6,1.4,13.3,31.0,0.2,0.3,0.5,.092,4.0,1.0,5.0,0.5,
2,Domantas Sabonis,26,C,7,7,243,15.9,.517,.051,.283,12.6,19.9,16.2,20.8,1.9,2.3,18.9,22.4,0.0,0.3,0.3,.064,0.1,0.7,0.7,0.2,
3,Malik Monk,24,SG,7,0,205,18.3,.580,.419,.527,2.9,16.4,9.5,18.2,1.1,1.4,10.9,24.9,0.4,0.2,0.6,.152,2.5,0.8,3.3,0.3,
4,Harrison Barnes,30,PF,7,7,196,12.0,.525,.417,.433,5.1,7.5,6.2,3.5,1.9,1.0,4.0,15.1,0.2,0.2,0.4,.091,0.0,0.0,0.0,0.1,
5,Keegan Murray,22,SF,7,7,194,11.4,.561,.552,.103,7.7,15.7,11.6,3.6,1.0,1.0,6.2,13.2,0.2,0.2,0.4,.102,-0.3,0.3,0.0,0.1,
6,Kevin Huerter,24,SG,7,7,183,6.6,.424,.542,.111,0.5,17.2,8.6,6.1,0.8,4.7,5.0,17.2,-0.2,0.2,0.0,.008,-4.6,0.5,-4.1,-0.1,
7,Davion Mitchell,24,PG,7,0,140,9.6,.514,.587,.130,2.1,4.5,3.3,11.9,2.0,0.7,11.0,15.5,0.0,0.1,0.1,.047,-1.6,0.7,-0.9,0.0,
8,Trey Lyles,27,PF,7,0,118,12.6,.545,.675,.125,7.6,27.6,17.3,6.0,0.8,0.0,6.6,15.2,0.1,0.1,0.3,.114,0.4,-0.1,0.3,0.1,
9,Terence Davis,25,SG,4,0,58,10.2,.575,.850,.100,3.4,12.7,7.9,14.4,0.8,0.0,8.7,15.6,0.1,0.0,0.1,.114,-0.9,1.6,0.7,0.0,
10,Alex Len,29,C,7,0,54,11.2,.816,.000,.667,12.8,25.3,18.9,2.6,0.0,5.3,37.6,13.7,0.0,0.1,0.1,.084,-6.3,1.3,-5.0,0.0,
11,Kessler Edwards,22,SF,6,0,7,1.7,,,,0.0,15.0,7.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.026,-5.8,-0.3,-6.2,0.0,
12,PJ Dozier,26,SF,3,0,6,40.9,.667,.667,.000,16.5,17.5,17.0,0.0,0.0,0.0,0.0,39.7,0.0,0.0,0.0,.281,23.1,1.1,24.1,0.0,
13,Chimezie Metu,25,PF,3,0,6,2.1,.431,.000,3.000,16.5,0.0,8.5,0.0,0.0,0.0,30.1,21.9,0.0,0.0,0.0,-0.161,-7.2,-5.6,-12.7,0.0,
