Team,TeamURL
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/2006.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/2006.html
Washington Wizards,https://www.basketball-reference.com/teams/WAS/2006.html
Toronto Raptors,https://www.basketball-reference.com/teams/TOR/2006.html
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/2006.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/2006.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/2006.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2006.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/2006.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/2006.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2006.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/2006.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/2006.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/2006.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/2006.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/2006.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/2006.html
Charlotte Bobcats,https://www.basketball-reference.com/teams/CHA/2006.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/2006.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/2006.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2006.html
Orlando Magic,https://www.basketball-reference.com/teams/ORL/2006.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/2006.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/2006.html
New Orleans/Oklahoma City Hornets,https://www.basketball-reference.com/teams/NOK/2006.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/2006.html
Memphis Grizzlies,https://www.basketball-reference.com/teams/MEM/2006.html
Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/2006.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/2006.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/2006.html
