Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Shaquille O'Neal,27,C,LAL,79,3163,1000,30.6,30.5,0.169,0.169,0.223,0.844,138.1,188.2
Vince Carter,23,SF,TOR,82,3126,119,23.4,18.2,0.138,0.138,0.281,0.0,75.8,0.0
Karl Malone,36,PF,UTA,82,2947,386,27.1,25.8,0.162,0.162,0.237,0.3,108.7,71.1
Allen Iverson,24,SG,PHI,70,2853,444,20.0,16.6,0.1,0.1,0.13,0.386,59.8,50.2
Gary Payton,31,PG,SEA,82,3425,221,23.6,22.2,0.13,0.13,0.315,0.222,71.4,69.9
Jerry Stackhouse,25,SG,DET,82,3148,120,18.9,15.3,0.117,0.117,1.0,0.0,59.9,0.0
Grant Hill,27,SF,DET,74,2776,55,24.5,9.5,0.151,0.151,0.621,0.0,77.3,0.0
Kevin Garnett,23,PF,MIN,81,3243,171,23.6,20.5,0.143,0.143,0.322,0.125,87.2,40.2
Chris Webber,26,PF,SAC,75,2880,196,23.4,27.1,0.131,0.131,0.257,0.222,70.3,57.1
Ray Allen,24,SG,MIL,82,3070,186,20.6,22.7,0.109,0.109,0.227,0.222,55.8,50.4
Alonzo Mourning,29,C,MIA,79,2748,376,25.8,23.8,0.133,0.133,0.221,0.471,84.3,104.1
Glenn Robinson,27,SF,MIL,81,2909,174,17.8,11.2,0.094,0.094,0.112,0.222,48.1,24.9
Allan Houston,28,SG,NYK,82,3169,654,16.5,13.8,0.108,0.108,0.126,0.58,65.9,73.1
Latrell Sprewell,29,SF,NYK,82,3276,700,15.7,15.3,0.103,0.103,0.14,0.58,62.8,81.2
Sam Cassell,30,PG,MIL,81,2899,178,21.1,18.5,0.112,0.112,0.185,0.222,57.3,41.1
Kobe Bryant,21,SG,LAL,66,2524,857,21.7,19.3,0.12,0.12,0.141,0.844,98.0,119.0
Clifford Robinson,33,SF,PHO,80,2839,333,17.3,14.3,0.083,0.083,0.144,0.323,53.6,46.5
Reggie Miller,34,SG,IND,81,2987,892,17.3,21.8,0.091,0.091,0.157,0.689,62.2,108.2
Jalen Rose,27,SF,IND,80,2978,964,16.7,15.9,0.088,0.088,0.115,0.689,60.1,79.2
Eddie Jones,28,SG,CHH,72,2807,171,19.9,18.4,0.108,0.108,0.231,0.125,64.6,28.9
David Robinson,34,C,SAS,80,2557,155,24.6,25.6,0.126,0.126,0.366,0.125,81.4,45.8
Jamal Mashburn,27,SF,MIA,76,2828,423,15.4,13.1,0.079,0.079,0.122,0.471,50.1,57.5
Rasheed Wallace,25,PF,POR,81,2845,605,18.1,19.4,0.099,0.099,0.142,0.65,71.3,92.3
Vin Baker,28,C,SEA,79,2849,177,14.0,10.2,0.077,0.077,0.145,0.222,42.3,32.2
Glen Rice,32,SF,LAL,80,2530,766,16.2,12.1,0.089,0.089,0.089,0.844,72.7,75.1
Derrick Coleman,32,PF,CHH,74,2347,169,18.9,22.8,0.103,0.103,0.287,0.125,61.6,35.9
Larry Hughes,21,SG,"PHI, GSW",82,2324,0,15.4,,"0.07, 0.062",0.067,0.0,0.0,31.1,0.0
Steve Smith,30,SG,POR,82,2689,604,17.3,18.5,0.095,0.095,0.135,0.65,68.4,87.8
Tracy McGrady,20,SF,TOR,79,2462,111,20.0,15.3,0.118,0.118,0.236,0.0,64.8,0.0
Terrell Brandon,29,PG,MIN,71,2587,162,20.8,23.3,0.126,0.126,0.366,0.125,76.9,45.8
Bryon Russell,29,SF,UTA,82,2900,371,15.1,14.2,0.09,0.09,0.131,0.3,60.4,39.3
Ron Mercer,23,SG,"DEN, ORL",68,2377,0,11.8,,"0.063, 0.058",0.061,0,0.0,27.9,0.0
Rodney Rogers,28,PF,PHO,82,2286,263,17.1,16.9,0.082,0.082,0.17,0.323,53.0,54.9
David Wesley,29,PG,CHH,82,2760,152,15.0,10.3,0.082,0.082,0.13,0.125,49.0,16.2
Lindsey Hunter,29,PG,DET,82,2919,93,13.2,5.6,0.081,0.081,0.366,0.0,41.5,0.0
Scottie Pippen,34,SF,POR,82,2749,614,16.4,17.5,0.09,0.09,0.128,0.65,64.8,83.2
Rik Smits,33,C,IND,79,1852,461,17.3,17.2,0.091,0.091,0.124,0.689,62.2,85.4
Anfernee Hardaway,28,SG,PHO,60,2253,386,17.9,18.3,0.086,0.086,0.184,0.323,55.6,59.4
Chris Gatling,32,PF,"ORL, DEN",85,1811,0,17.1,,"0.085, 0.08",0.083,0,0.0,38.6,0.0
