Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kobe Bryant,24,SG,LAL,82,3401,26.2,22.2,0.161,0.161,0.208,0.4,98.2,83.2
Tracy McGrady,23,SG,ORL,75,2954,30.3,27.0,0.148,0.148,0.301,0.273,75.8,82.2
Allen Iverson,27,SG,PHI,82,3485,21.2,23.6,0.111,0.111,0.221,0.4,64.9,88.4
Paul Pierce,25,SG,BOS,79,3096,22.7,23.0,0.14,0.14,0.218,0.286,75.2,62.3
Dirk Nowitzki,24,PF,DAL,80,3117,25.6,23.2,0.127,0.127,0.158,0.525,93.0,83.0
Tim Duncan,26,PF,SAS,81,3181,26.9,28.4,0.156,0.156,0.228,0.85,114.2,193.8
Kevin Garnett,26,PF,MIN,82,3321,26.4,25.0,0.131,0.131,0.254,0.2,81.5,50.8
Shaquille O'Neal,30,C,LAL,67,2535,29.5,30.6,0.181,0.181,0.287,0.4,110.4,114.8
Stephon Marbury,25,PG,PHO,81,3240,20.1,11.2,0.123,0.123,0.194,0.2,66.1,38.8
Jamal Mashburn,30,SF,NOH,82,3321,18.0,20.6,0.098,0.098,0.215,0.2,56.2,43.0
Shawn Marion,24,SF,PHO,81,3373,21.3,16.2,0.131,0.131,0.281,0.2,70.3,56.2
Ray Allen,27,SG,"MIL, SEA",76,2880,23.3,,"0.096, 0.113",0.102,0.0,0.0,51.4,0.0
Karl Malone,39,PF,UTA,81,2936,21.7,15.0,0.126,0.126,0.182,0.111,72.2,20.2
Gary Payton,34,PG,"SEA, MIL",80,3208,20.5,16.6,"0.104, 0.099",0.102,0.159,0.2,50.7,0.0
Richard Hamilton,24,SG,DET,82,2640,18.7,16.8,0.112,0.112,0.121,0.467,68.3,56.5
Jermaine O'Neal,24,PF,IND,77,2864,21.4,22.1,0.11,0.11,0.266,0.2,64.4,53.2
Antoine Walker,26,PF,BOS,78,3235,14.6,11.9,0.09,0.09,0.113,0.286,48.3,32.3
Chris Webber,29,PF,SAC,67,2622,20.9,23.3,0.107,0.107,0.153,0.475,77.0,72.7
Sam Cassell,33,PG,MIL,78,2700,22.3,13.5,0.108,0.108,0.129,0.2,55.3,25.8
Jason Kidd,29,PG,NJN,80,2989,22.2,19.2,0.134,0.134,0.144,0.817,80.1,117.6
Steve Nash,28,PG,DAL,82,2711,22.6,18.1,0.112,0.112,0.123,0.525,82.0,64.6
Matt Harpring,26,SF,UTA,78,2557,19.3,14.8,0.112,0.112,0.179,0.111,64.2,19.9
Rasheed Wallace,28,PF,POR,74,2684,18.5,17.6,0.101,0.101,0.159,0.273,61.6,43.4
Michael Finley,29,SF,DAL,69,2642,17.6,17.2,0.088,0.088,0.117,0.525,64.4,61.4
Kenyon Martin,25,PF,NJN,77,2628,16.9,17.4,0.102,0.102,0.131,0.817,61.0,107.0
Tony Parker,20,PG,SAS,82,2774,16.5,11.9,0.096,0.096,0.096,0.85,70.3,81.6
Richard Jefferson,22,SF,NJN,80,2879,16.6,12.9,0.1,0.1,0.097,0.817,59.8,79.2
Michael Redd,23,SG,MIL,82,2316,21.0,14.8,0.102,0.102,0.142,0.2,52.2,28.4
David Wesley,32,SG,NOH,73,2710,15.1,9.3,0.083,0.083,0.097,0.2,47.6,19.4
Chauncey Billups,26,PG,DET,74,2327,20.4,17.9,0.122,0.122,0.129,0.467,74.4,60.2
Keith Van Horn,27,PF,PHI,74,2337,17.3,10.2,0.091,0.091,0.096,0.4,53.2,38.4
Desmond Mason,25,SF,"SEA, MIL",80,2763,16.9,15.3,"0.069, 0.082",0.074,0.147,0.2,36.6,0.0
